Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW18AN8N2C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",8.2nH,±0.2nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN8N2D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",8.2nH,±0.5nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN8N7C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",8.7nH,±0.2nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN8N7D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",8.7nH,±0.5nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN91NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",91nH,±2%,230mA,,0.64Ω,1900MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN91NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",91nH,±5%,230mA,,0.64Ω,1900MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN9N1C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",9.1nH,±0.2nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN9N1D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",9.1nH,±0.5nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN9N5D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",9.5nH,±0.5nH,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR10G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",100nH,±2%,220mA,,0.68Ω,1800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR10J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",100nH,±5%,220mA,,0.68Ω,1800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR11G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",110nH,±2%,200mA,,1.2Ω,1700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR11J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",110nH,±5%,200mA,,1.2Ω,1700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR12G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",120nH,±2%,180mA,,1.3Ω,1600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR12J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",120nH,±5%,180mA,,1.3Ω,1600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR13G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",130nH,±2%,170mA,,1.4Ω,1450MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR13J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",130nH,±5%,170mA,,1.4Ω,1450MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR15G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",150nH,±2%,160mA,,1.5Ω,1400MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR15J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",150nH,±5%,160mA,,1.5Ω,1400MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR16G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",160nH,±2%,150mA,,2.1Ω,1350MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR16J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",160nH,±5%,150mA,,2.1Ω,1350MHz,LQW18AN_00
