Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN23NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",23nH,±5%,1300mA,,0.086Ω,3450MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN24NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",24nH,±2%,1300mA,,0.086Ω,3450MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN24NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",24nH,±5%,1300mA,,0.086Ω,3450MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN25NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",25nH,±2%,1200mA,,0.098Ω,3600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN25NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",25nH,±5%,1200mA,,0.098Ω,3600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN27NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",27nH,±2%,1200mA,,0.098Ω,3600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN27NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",27nH,±5%,1200mA,,0.098Ω,3600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN28NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",28nH,±2%,1200mA,,0.098Ω,3600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN28NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",28nH,±5%,1200mA,,0.098Ω,3600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN2N2C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",2.2nH,±0.2nH,3200mA,,0.018Ω,15000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN2N4C80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",2.4nH,±0.2nH,2400mA,,0.026Ω,15000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN30NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",30nH,±2%,1100mA,,0.12Ω,2880MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN30NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",30nH,±5%,1100mA,,0.12Ω,2880MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN31NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",31nH,±2%,1100mA,,0.11Ω,3150MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN31NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",31nH,±5%,1100mA,,0.11Ω,3150MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN33NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",33nH,±2%,1100mA,,0.11Ω,3150MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN33NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",33nH,±5%,1100mA,,0.11Ω,3150MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN34NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",34nH,±2%,1050mA,,0.15Ω,3000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN34NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",34nH,±5%,1050mA,,0.15Ω,3000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN36NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",36nH,±2%,910mA,,0.20Ω,3000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN36NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",36nH,±5%,910mA,,0.20Ω,3000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN37NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",37nH,±2%,910mA,,0.20Ω,3000MHz,LQW18AN_80
