Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN4N7C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.7nH,±0.2nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N7D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.7nH,±0.5nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N8B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.8nH,±0.1nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N8C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.8nH,±0.2nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N8D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.8nH,±0.5nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N9B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.9nH,±0.1nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N9C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.9nH,±0.2nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N9D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.9nH,±0.5nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN51NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),51nH,±2%,210mA,,1.08?,2.85GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN51NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),51nH,±3%,210mA,,1.08?,2.85GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN51NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),51nH,±5%,210mA,,1.08?,2.85GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN56NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),56nH,±2%,200mA,,1.17?,2.8GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN56NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),56nH,±3%,200mA,,1.17?,2.8GHz,LQW15AN_00
