Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N1B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.1nH,±0.1nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N1C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.1nH,±0.2nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N1D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.1nH,±0.5nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N1G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.1nH,±2%,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N2B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.2nH,±0.1nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N2C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.2nH,±0.2nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N2D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.2nH,±0.5nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.2nH,±2%,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.3nH,±2%,1600mA,,0.057Ω,7.8GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N3J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.3nH,±5%,1600mA,,0.057Ω,7.8GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.4nH,±2%,1380mA,,0.065Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N4J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.4nH,±5%,1380mA,,0.065Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.5nH,±2%,1380mA,,0.065Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N5J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.5nH,±5%,1380mA,,0.065Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.6nH,±2%,1280mA,,0.078Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N6J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.6nH,±5%,1280mA,,0.078Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.7nH,±2%,1280mA,,0.078Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N7J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.7nH,±5%,1280mA,,0.078Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.8nH,±2%,1450mA,,0.068Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N8J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.8nH,±5%,1450mA,,0.068Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.9nH,±2%,1420mA,,0.069Ω,8.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N9J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.9nH,±5%,1420mA,,0.069Ω,8.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN75NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",75nH,±2%,320mA,,1.224Ω,2.4GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN75NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",75nH,±5%,320mA,,1.224Ω,2.4GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.0nH,±2%,1420mA,,0.069Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N0J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.0nH,±5%,1420mA,,0.069Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N1G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.1nH,±2%,1420mA,,0.069Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N1J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.1nH,±5%,1420mA,,0.069Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.2nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N2J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.2nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.3nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N3J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.3nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.4nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N4J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.4nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.5nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N5J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.5nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.6nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N6J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.6nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.7nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N7J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.7nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.8nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N8J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.8nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.9nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN7N9J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",7.9nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.0nH,±2%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N0J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.0nH,±5%,1700mA,,0.050Ω,7.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N1G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.1nH,±2%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N1J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.1nH,±5%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.2nH,±2%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N2J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.2nH,±5%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.3nH,±2%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N3J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.3nH,±5%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.4nH,±2%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N4J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.4nH,±5%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.5nH,±2%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N5J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.5nH,±5%,1500mA,,0.069Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.6nH,±2%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N6J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.6nH,±5%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.7nH,±2%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N7J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.7nH,±5%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.8nH,±2%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N8J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.8nH,±5%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.9nH,±2%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN8N9J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",8.9nH,±5%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9nH,±2%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N0J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9nH,±5%,1420mA,,0.070Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N1G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.1nH,±2%,1400mA,,0.080Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N1J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.1nH,±5%,1400mA,,0.080Ω,6.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.2nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N2J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.2nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.3nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N3J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.3nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.4nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N4J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.4nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.5nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N5J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.5nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.6nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N6J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.6nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.7nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N7J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.7nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.8nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N8J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.8nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.9nH,±2%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN9N9J80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",9.9nH,±5%,1400mA,,0.081Ω,6.0GHz,LQW15AN_80
